timestamp,Above 60,Above 65,Above 70,Above 73,Above 75,Above 77,Above 80,Above 82,Above 85,Above 90,Above 95
2025-04-12T00:00:00Z,,,,,83.00,,,,,,
2025-04-13T00:00:00Z,,,,,84.00,,76.28,,42.05,30.95,
2025-04-14T00:00:00Z,,,83.00,,67.50,,52.41,,42.05,30.95,7.04
2025-04-15T00:00:00Z,,,74.82,,56.00,,42.64,,21.99,14.51,7.65
2025-04-16T00:00:00Z,,,79.00,,62.44,,35.96,,16.98,10.79,7.65
2025-04-17T00:00:00Z,,,79.00,,62.76,,32.00,,15.00,10.56,7.65
2025-04-18T00:00:00Z,,,79.00,,62.76,,35.00,,15.00,11.00,7.65
2025-04-19T00:00:00Z,,,76.00,,57.00,,35.03,,19.60,13.41,6.00
2025-04-20T00:00:00Z,,,76.00,,57.00,,37.99,,23.48,13.41,6.00
2025-04-21T00:00:00Z,,,76.00,,57.00,,40.00,,23.48,7.00,6.00
2025-04-22T00:00:00Z,,,80.52,,61.84,,41.28,,25.34,12.22,6.00
2025-04-23T00:00:00Z,,,82.00,,64.00,,41.28,,18.16,11.10,6.00
2025-04-24T00:00:00Z,,,82.00,,58.70,,41.28,,18.16,8.44,6.00
2025-04-25T00:00:00Z,,,82.00,,59.19,,42.08,,18.16,4.49,6.00
2025-04-26T00:00:00Z,,,79.00,,52.00,,25.37,,10.47,3.02,1.00
2025-04-27T00:00:00Z,,,79.00,,52.14,,25.37,,14.00,6.74,4.00
2025-04-28T00:00:00Z,,,76.00,,53.73,,28.03,,7.00,6.74,4.00
2025-04-29T00:00:00Z,,,76.00,,53.00,,28.03,,7.00,6.74,4.00
2025-04-30T00:00:00Z,,,72.14,,53.42,,27.44,,7.00,6.00,4.00
2025-05-01T00:00:00Z,,,75.00,,51.38,,28.00,,14.00,6.00,4.00
2025-05-02T00:00:00Z,,,77.20,,58.72,,38.42,,17.71,6.00,4.00
2025-05-03T00:00:00Z,,,63.99,,44.94,,22.93,,12.85,6.00,4.00
2025-05-04T00:00:00Z,,,56.40,,30.77,,10.60,,9.00,4.00,4.00
2025-05-05T00:00:00Z,,,56.97,,31.47,,11.94,,3.00,1.00,4.00
2025-05-06T00:00:00Z,,84.65,67.57,,42.56,,20.22,,7.75,1.19,4.00
2025-05-07T00:00:00Z,96.58,86.64,68.60,,50.61,29.34,22.05,12.63,3.41,3.00,4.00
2025-05-08T00:00:00Z,96.00,92.63,64.11,,39.17,28.76,15.57,6.71,3.41,3.00,4.00
2025-05-09T00:00:00Z,98.80,93.09,70.46,43.47,29.30,16.53,3.69,5.00,1.00,3.00,4.00
2025-05-10T00:00:00Z,98.80,98.67,95.85,77.15,66.77,39.75,5.10,5.00,1.00,3.00,4.00
2025-05-11T00:00:00Z,99.00,99.00,98.03,94.40,88.67,24.93,1.58,5.00,1.00,3.00,4.00
2025-05-12T00:00:00Z,99.00,99.00,99.00,98.37,92.82,7.13,1.00,5.00,1.00,3.00,4.00