timestamp,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2026-02-20T00:00:00Z,,,,,,,62.59,,,31.05,,,18.36,7.00
2026-02-21T00:00:00Z,,,,,,,55.80,,,33.00,,,17.00,7.00
2026-02-22T00:00:00Z,,,,,,,55.14,,,28.85,,,16.14,7.00
2026-02-23T00:00:00Z,,,,,,,57.08,,,30.46,,,16.14,7.00
2026-02-24T00:00:00Z,,,,,,,57.46,,,32.19,,,18.49,3.00
2026-02-25T00:00:00Z,,,,,,,64.29,,,37.91,,,16.12,3.00
2026-02-26T00:00:00Z,,,,,,,63.28,,,37.75,,,16.92,3.00
2026-02-27T00:00:00Z,,,,,,,62.93,,,38.50,,,15.46,3.00
2026-02-28T00:00:00Z,,,,,,,60.59,,,39.00,,,17.00,3.00
2026-03-01T00:00:00Z,,,,,,,61.59,,,35.19,,,14.39,4.00
2026-03-02T00:00:00Z,,,,,,,57.33,,,37.00,,,14.89,5.00
2026-03-03T00:00:00Z,,,,,,,59.48,,,36.12,,,17.13,3.00
2026-03-04T00:00:00Z,,,,,,,59.71,,,33.38,,,15.21,3.00
2026-03-05T00:00:00Z,,,,,,,60.37,,,33.26,,,17.00,3.00
2026-03-06T00:00:00Z,,,,,,,66.00,,,41.34,,,11.60,1.21
2026-03-07T00:00:00Z,,,,,,,55.74,,,34.75,,,7.00,1.21
2026-03-08T00:00:00Z,,,,,,,60.20,,,32.82,,,4.49,1.21
2026-03-09T00:00:00Z,,,,,,,61.44,,,23.92,,,3.00,1.21
2026-03-10T00:00:00Z,,,,87.00,73.97,,49.35,,,19.05,,,5.56,1.21
2026-03-11T00:00:00Z,93.00,92.00,,81.57,72.46,,50.19,,,14.12,,,3.66,1.00
2026-03-12T00:00:00Z,97.44,98.25,98.54,95.04,83.20,96.56,87.03,68.23,40.26,34.91,17.73,12.70,7.73,1.00
2026-03-13T00:00:00Z,99.00,99.00,99.00,99.00,97.92,99.00,96.58,89.89,68.89,41.31,14.27,4.57,1.00,1.00
2026-03-14T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,98.58,95.08,77.34,31.42,2.58,1.00,1.00,1.00
2026-03-15T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,95.05,72.57,7.71,1.00,1.00,1.00,1.00
2026-03-16T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.81,86.09,1.00,1.00,1.00,1.00,1.00