timestamp,Above 45,Above 60,Above 65,Above 70,Above 75,Above 80,Above 82,Above 85,Above 87,Above 90,Above 95
2025-06-25T00:00:00Z,93.25,80.97,,,63.79,,,,,19.78,
2025-06-26T00:00:00Z,93.25,87.79,,,68.70,,,,,18.78,
2025-06-27T00:00:00Z,93.78,84.98,,,64.21,,,,,16.83,
2025-06-28T00:00:00Z,98.00,82.77,,,64.70,,,,,16.98,
2025-06-29T00:00:00Z,98.00,88.35,,,72.44,,,,,16.90,
2025-06-30T00:00:00Z,98.00,89.10,,,76.90,,,,,16.00,
2025-07-01T00:00:00Z,98.00,86.42,,,74.06,,,,,19.10,
2025-07-02T00:00:00Z,94.00,90.10,,,72.50,,,,,15.44,
2025-07-03T00:00:00Z,92.78,85.76,,,65.96,,,,,15.39,
2025-07-04T00:00:00Z,92.98,85.08,,,59.97,,,,,18.70,
2025-07-05T00:00:00Z,91.43,84.06,,,60.69,,,,,17.19,
2025-07-06T00:00:00Z,97.00,84.55,,,51.87,,,,,16.98,
2025-07-07T00:00:00Z,97.00,86.72,,,54.60,,,,,18.64,
2025-07-08T00:00:00Z,96.19,87.11,,,56.21,,,,,17.05,
2025-07-09T00:00:00Z,96.19,83.90,,,51.61,,,,,15.37,
2025-07-10T00:00:00Z,95.00,84.11,,,51.66,,,,,13.20,
2025-07-11T00:00:00Z,95.00,85.98,,,64.21,,,,,14.19,
2025-07-12T00:00:00Z,95.00,89.02,76.70,70.75,66.58,55.11,,38.83,,15.16,
2025-07-13T00:00:00Z,95.00,88.97,82.70,77.00,70.38,54.94,,34.67,,14.91,
2025-07-14T00:00:00Z,95.00,89.65,86.76,77.00,71.09,58.59,,36.04,,15.77,
2025-07-15T00:00:00Z,95.00,87.80,86.00,83.60,74.16,61.19,,33.50,,15.16,
2025-07-16T00:00:00Z,93.47,91.17,83.04,78.94,70.84,63.78,,27.96,,14.27,
2025-07-17T00:00:00Z,93.47,87.30,86.00,79.82,69.80,57.36,,27.01,,6.67,
2025-07-18T00:00:00Z,93.47,87.57,85.91,83.45,72.76,56.80,,31.03,,10.62,
2025-07-19T00:00:00Z,94.00,92.04,88.25,82.41,75.32,61.66,,28.49,,12.40,
2025-07-20T00:00:00Z,99.00,95.42,89.15,85.42,82.86,70.94,,43.02,,14.74,
2025-07-21T00:00:00Z,99.00,95.42,89.15,93.45,87.00,76.77,,55.50,,19.87,
2025-07-22T00:00:00Z,99.00,98.09,94.58,89.02,88.63,80.00,,51.24,,16.40,
2025-07-23T00:00:00Z,99.00,98.71,97.58,97.95,92.37,84.85,81.87,40.99,13.04,3.49,1.00
2025-07-24T00:00:00Z,99.00,99.00,99.00,99.00,98.87,98.25,90.71,52.44,15.29,1.62,1.00
2025-07-25T00:00:00Z,99.00,99.00,99.00,99.00,99.00,98.99,98.47,88.68,52.98,1.65,1.00
2025-07-26T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.27,75.18,1.73,1.00
2025-07-27T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,98.80,52.20,1.32,1.00
2025-07-28T00:00:00Z,99.00,99.00,99.00,99.00,99.00,99.00,99.00,99.00,9.26,1.00,1.00