timestamp,Above 40,Above 45,Above 50,Above 55,Above 60,Above 65,Above 70,Above 75,Above 90
2024-11-16T00:00:00Z,,99.00,,,97.50,,,40.00,
2024-11-17T00:00:00Z,,95.00,,,66.81,,,50.00,20.00
2024-11-18T00:00:00Z,,87.50,,,80.38,,,52.33,20.30
2024-11-19T00:00:00Z,,88.00,,,78.70,,,57.09,20.13
2024-11-20T00:00:00Z,,88.00,,,75.60,,,51.83,20.13
2024-11-21T00:00:00Z,,85.83,,,72.31,,,50.67,15.02
2024-11-22T00:00:00Z,,78.85,,,72.31,,,49.94,15.02
2024-11-23T00:00:00Z,,86.00,,,75.33,,,43.16,12.54
2024-11-24T00:00:00Z,,85.00,,,75.00,,,44.07,14.00
2024-11-25T00:00:00Z,,85.15,,,68.71,,,42.82,14.00
2024-11-26T00:00:00Z,,84.21,,,71.36,,,42.64,6.00
2024-11-27T00:00:00Z,,84.46,,,66.90,,,39.49,6.02
2024-11-28T00:00:00Z,,83.95,,,65.09,,,37.60,10.00
2024-11-29T00:00:00Z,,85.00,,,65.09,,,34.74,7.05
2024-11-30T00:00:00Z,,82.21,,,65.49,,,33.66,10.93
2024-12-01T00:00:00Z,,83.97,,,65.62,,,32.53,5.00
2024-12-02T00:00:00Z,,84.69,,,58.10,,,29.00,5.00
2024-12-03T00:00:00Z,,85.00,,,65.98,,,36.25,6.47
2024-12-04T00:00:00Z,,80.23,,,52.52,,,25.86,3.71
2024-12-05T00:00:00Z,,82.17,,,46.46,,,17.98,2.81
2024-12-06T00:00:00Z,92.00,88.36,76.81,62.50,44.67,30.29,25.16,20.23,2.81
2024-12-07T00:00:00Z,92.00,90.00,75.00,65.61,41.16,33.28,22.91,16.45,7.70
2024-12-08T00:00:00Z,92.00,91.00,75.00,63.02,48.25,33.32,26.00,22.60,5.21
2024-12-09T00:00:00Z,92.00,89.47,81.00,61.54,49.02,38.14,26.00,19.91,2.23
2024-12-10T00:00:00Z,97.87,96.95,90.13,79.00,45.17,20.61,12.17,4.04,1.10
2024-12-11T00:00:00Z,97.87,99.00,97.98,86.78,48.97,21.95,2.16,1.84,1.00
2024-12-12T00:00:00Z,99.00,98.81,93.89,76.60,23.99,9.78,1.93,1.00,1.00
2024-12-13T00:00:00Z,99.00,98.98,91.85,36.52,6.46,1.46,1.00,1.00,1.00
2024-12-14T00:00:00Z,97.92,98.08,59.87,8.55,1.44,1.20,1.00,1.00,1.00
2024-12-15T00:00:00Z,98.00,98.98,67.60,2.24,1.22,8.24,1.00,6.48,1.00
2024-12-16T00:00:00Z,98.00,98.31,77.69,1.49,1.00,8.24,1.00,6.48,1.00