timestamp,Above 0,Above 5,Above 10,Above 15,Above 20,Above 25,Above 30,Above 35,Above 40,Above 45,Above 60,Above 75,Above 90
2026-01-13T00:00:00Z,,,,,,,,,,12.00,6.19,4.89,7.00
2026-01-14T00:00:00Z,,,,,,,,,,14.09,10.55,3.04,3.00
2026-01-15T00:00:00Z,,,,,,,,,,17.70,10.38,8.00,13.00
2026-01-16T00:00:00Z,,,,,,,,,,13.66,4.00,8.00,13.00
2026-01-17T00:00:00Z,,,,,,,,,,18.21,12.95,6.02,13.00
2026-01-18T00:00:00Z,,,,,,,,,,15.25,4.10,11.72,13.00
2026-01-19T00:00:00Z,,,,,,,,,,16.23,11.70,3.88,13.00
2026-01-20T00:00:00Z,,,,,,,,,,18.25,11.62,6.64,12.29
2026-01-21T00:00:00Z,,,,,,,,,,19.36,14.00,3.02,2.00
2026-01-22T00:00:00Z,,,,,,,,,,19.33,12.83,6.00,2.00
2026-01-23T00:00:00Z,,,,,,,,,,22.17,10.23,7.75,2.00
2026-01-24T00:00:00Z,,,,,,,,,,21.92,2.00,7.11,2.00
2026-01-25T00:00:00Z,,,,,,,,,,9.57,9.58,5.67,2.00
2026-01-26T00:00:00Z,,,,,,,,,,14.94,12.00,4.00,17.00
2026-01-27T00:00:00Z,,,,,,,,,,12.77,12.00,6.03,17.00
2026-01-28T00:00:00Z,,,,,,,,,,14.04,5.96,1.81,17.00
2026-01-29T00:00:00Z,,,,,,,,,,19.32,8.26,8.46,4.00
2026-01-30T00:00:00Z,,,,,,,,,,15.21,6.44,3.62,4.00
2026-01-31T00:00:00Z,,,,,,,,,,16.10,6.75,2.83,4.00
2026-02-01T00:00:00Z,,,,,,,,,,14.51,7.02,2.00,3.00
2026-02-02T00:00:00Z,,,,,,,,,,14.05,6.05,3.90,3.44
2026-02-03T00:00:00Z,93.00,82.40,65.53,46.99,33.00,,14.17,8.18,6.28,7.20,3.10,2.11,2.00
2026-02-04T00:00:00Z,97.52,92.00,77.94,52.97,25.71,12.41,10.45,7.07,4.68,2.52,1.00,1.00,2.00
2026-02-05T00:00:00Z,94.27,81.94,71.84,46.82,27.08,14.14,10.56,6.55,3.07,2.11,1.02,1.00,2.00
2026-02-06T00:00:00Z,91.61,96.15,76.61,49.45,27.18,8.94,2.85,1.60,1.52,1.51,1.11,1.00,1.00
2026-02-07T00:00:00Z,99.00,99.00,91.08,38.66,22.62,4.77,1.00,1.60,1.00,1.00,1.00,1.00,1.00
2026-02-08T00:00:00Z,99.00,99.00,99.00,83.61,23.78,7.11,1.00,1.00,1.00,1.00,1.00,1.00,1.00
2026-02-09T00:00:00Z,99.00,99.00,99.00,94.23,13.41,1.35,1.00,1.00,1.00,1.00,1.00,1.00,1.00